task	desc	conds	weights
awe	Nostalgia	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
awe	Proud	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
awe	Saddevastated	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
awe	Surprised	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
awe	Worriedapprehensive	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
awe	Dizzy	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
awe	Full	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
awe	Warm	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
impfb	ffb-tb	ffb tb	1 -1
impfb	ffb-nb	ffb nb	1 -1
impfb	tb-nb	tb nb	1 -1
